"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C39,C26,C13,C9";"C_0402_1005Metric";4;"1uF";;;
2;"C4,C33,C37,C38";"C_0402_1005Metric";4;"12pF";;;
3;"R28,R27,R23,R26,R29,R30";"R_0402_1005Metric";6;"0R";;;
4;"C7,C8,C20,C2,C36,C16,C3,C6,C25,C17";"C_0402_1005Metric";10;"10uF";;;
5;"R21,R4,R22";"R_0402_1005Metric";3;"10K";;;
6;"C11,C15,C19,C10,C5,C32,C1,C12,C35,C18,C22";"C_0402_1005Metric";11;"0.1uF";;;
7;"R2,R18";"R_0402_1005Metric";2;"33R";;;
8;"R3,R6,R5";"R_0402_1005Metric";3;"4.7k";;;
9;"D2,D3,D1";"LED_0603_1608Metric";3;"LED";;;
10;"R20";"R_0402_1005Metric";1;"100K";;;
11;"R1";"R_0402_1005Metric";1;"2K";;;
12;"J4,J2";"PinSocket_1x02_P2.54mm_Vertical";2;"Conn_01x02_Pin";;;
13;"DNP1,C31";"C_0402_1005Metric";2;"15pF";;;
14;"J1";"USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A";1;"USB_C_Receptacle_USB2.0_14P";;;
15;"R24,R16,R25";"R_0402_1005Metric";3;"470R";;;
16;"BTN1";"SW_Push_1P1T_XKB_TS-1187A";1;"BTN";;;
17;"D4";"D_SMA";1;"SS14";;;
18;"Q1";"SOT-23";1;"AO3401A";;;
19;"R17,R14";"R_0402_1005Metric";2;"5.1K";;;
20;"J3,J5";"PinHeader_1x18_P2.54mm_Vertical";2;"Conn_01x18_Pin";;;
21;"R19,R12";"R_0402_1005Metric";2;"200K";;;
22;"GND1";"TestPoint_Pad_D1.0mm";1;"GND";;;
23;"AE1";"Texas_SWRA117D_2.4GHz_Left";1;"Antenna";;;
24;"R31";"R_0402_1005Metric";1;"DNP";;;
25;"C40";"C_0402_1005Metric";1;"10nF";;;
26;"L6";"L_0402_1005Metric";1;"4.7nH";;;
27;"Y2";"Crystal_SMD_2520-4Pin_2.5x2.0mm";1;"40MHz(10ppm)";;;
28;"U4";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
29;"C14";"C_0402_1005Metric";1;"DNP";;;
30;"L5";"L_0402_1005Metric";1;"DNP";;;
31;"U5";"QFN50P400X400X95-24N";1;"MPU-6050";;;
32;"U1";"QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm";1;"ESP32-S3";;;
33;"U3";"SOT-23-5";1;"MCP73831-2-OT";;;
34;"R15";"R_0402_1005Metric";1;"1K";;;
35;"Flash1,Flash3,Flash5,Flash2,Flash4";"SW_Push_1P1T_XKB_TS-1187A";5;"Flash";;;
36;"L3";"L_0402_1005Metric";1;"2nH";;;
37;"Reset1";"SW_Push_1P1T_XKB_TS-1187A";1;"Reset";;;
38;"U2";"SOIC-8_5.3x5.3mm_P1.27mm";1;"W25Q128JVS";;;
39;"+3V3";"TestPoint_Pad_D1.0mm";1;"+3V3";;;
40;"Y1";"Crystal_SMD_3215-2Pin_3.2x1.5mm";1;"32.768 kHz";;;
41;"U6";"XDCR_COM-09032";1;"COM-09032";;;
